genre,description,year,ancestor
progressive trance,subgenre of trance music,1992,trance
proletarian rock,music genre,,rock music
propaganda music,"musical compositions created with the intent to disseminate a particular ideology, political beliefs, or socio-cultural values; often used to manipulate public opinion and shape a specific societal mood",,functional music
prosodion,music genre,,song
protest song,song that is associated with a movement for social change,,topical song
proto doom,music genre,,doom metal
proto-metal,music genre of the hard rock,1966,hard rock
proto-prog,early form of progressive rock,1963,rock music
proto-punk,subgenre of rock music,1965,punk music
psalm,religious poem/lyrics,,poem
psalma,music genre,,Eastern Orthodox music
psybient,music genre,1993,chill-out music
psybreaks,subgenre of breakbeat,1995,breakbeat
psychedelic black metal,music genre,,black metal
psychedelic folk,music genre,1965,psychedelic music
psychedelic funk,music genre,,funk
psychedelic hip-hop,subgenre of hip-hop,,hip-hop
psychedelic metal,music genre,,psychedelic music
psychedelic music,range of popular music styles and genres,1964,popular music
psychedelic pop,subgenre of pop music,1965,pop music
psychedelic rap,music genre,,hip-hop
psychedelic rock,genre of rock music,1965,rock music
psychedelic soul,music genre,1967,soul
psychedelic trance,subgenre of trance music,1992,trance
psychobilly,musical genre; subgenre of rockabilly,1978,punk rock
psychploitation,music genre,,psychedelic music
psycore,music genre,2007,dark psytrance
psydub,music genre,,chill-out music
psystyle,music genre,2015,hardstyle
psytech,music genre,,techno
pub rock,genre of rock music that emerged in the early to mid-1970s in the United Kingdom,1972,rock music
puirt à beul,Scottish singing style,,vocal music
pumpcore,music genre,,hardtek
pumping house,subgenre of house music,,hard house
pungmul,Korean folk music tradition,,Korean dance
punk blues,music genre,1987,punk music
punk funk,music genre,,funk
punk jazz,music genre,1970,punk rock
punk metal,music genre,1978,hardcore punk
punk music,"umbrella category of music genres related to punk subculture, derived from punk rock music scene while not necessarily being its subgenre",,rock music
punk pathetique,music genre,1979,punk rock
punk rap,genre of hip-hop,2007,punk rock
punk revival,subgenre of punk rock,,punk rock
punk rock,genre of rock music,1975,punk music
punk'n'roll,music genre combining elements of punk rock with rock'n'roll,1987,punk rock
punkabilly,music genre,,punk rock
punta,traditional style of music and dance performed by the Garifuna people,1978,music of the Caribbean
punta rock,music genre,1978,rock music
punto guajiro,Cuban music genre,,music of Cuba
purple sound,music genre,2007,dubstep
purísima,music genre,,Christian hymn
puxa,music genre,,music of Central Africa
pásztordal,Hungarian folk genre,,Hungarian folk music
pìobaireachd,music genre associated primarily with the Scottish Highlands that is characterised by extended compositions with a melodic theme and elaborate formal variations,,music of Scotland
qasidah modern,music genre,,music of Indonesia
qawwali,Sufi devotional music popular in South Asia,1450,music of India
quadrille,music genre,,dance music
quan họ,Vietnamese folk music with alternating female and male singers,,Vietnamese folk music
quarter tone music,music genre,,microtonal music
queercore,music genre,1985,punk rock
quiet storm,"radio format of contemporary R&B, jazz fusion and pop, characterized by understated mellow dynamics, slow tempos and relaxed rhythms",1976,jazz fusion
quodlibet,a composition in which well-known melodies and texts appear in successive or simultaneous combinations,,composed musical work
quyi,traditional Chinese oral performing arts,,performing arts
rabbit song,music genre,,indigenous music of North America
rabiz,Armenian popular music genre,,pop music
rabòday,music genre,,music of Haiti
radio music,"music composed, arranged, or adapted for radio programs, such as their theme songs or background music",,score
raga,melodic mode in Indian music,,Indian classical music
raga rock,microgenre of rock music,1965,psychedelic rock
ragamalika,form of composition in Carnatic music,,Carnatic music
rage,music genre,2017,trap music
ragga,sub-genre of dancehall music or reggae,1985,reggae
ragga hip hop,music genre,1985,hip-hop
ragga jungle,subgenre of oldschool jungle,1989,ragga
ragga metal,music genre,,metal music
ragga pop,music genre,,reggae
raggacore,music genre which is strongly influenced by ragga jungle,1998,breakcore
raggatek,music genre,,hardtek
raglife,Ghanaian musical genre,,reggae
ragtime,music genre,1890,popular music
ragtime song,music genre,,ragtime
raicore,music genre,,raï
rajaleña,music genre,,
rake-and-scrape,music genre and type of dance,,music of the Bahamas
ramopunk,subgenre of pop punk,1970,pop-punk
ranchera,genre of the traditional music of Mexico created around the XVIII century but popularized by Mexican movies all around Latin America since 1930 until now.,1930,composed musical work
rap metal,cross-genre fusing vocal and instrumental elements of hip-hop with various forms of metal,1985,alternative metal
rap opera,music genre,,hip-hop
rap rock,cross-genre fusing vocal and instrumental elements of hip-hop with various forms of rock,1982,rapping
rapai dabõih,music genre,,Islamic music
rapcore,subgenre of rap rock,1987,punk rock
rapping,"artistic form of vocal delivery and emotive expression that incorporates ""rhyme, rhythmic speech, and [commonly] street vernacular""",1970,hip-hop
rapso,Trinidadian genre of music,,soca music
rara,festival music that originated in Haïti; music genre,,music of Haiti
rara tech,music genre,,electronic music
rare phonk,music genre,2012,phonk
rasguido doble,musical style and dance of African American influence that corresponds to the genre of folkloric litoraleña music,,litoraleña music
rasin,musical style,,music of Haiti
rasiya,genre of Indian folk music,,Indian folk music
raspacanilla,music genre,,
rasqueado,style of music and regional dance of the Brazilian mid-west,,dance
rasteirinha,music genre,2012,Brazilian funk
ratchet music,music genre,2011,hip-hop
rautalanka,Finnish style of instrumental rock,,instrumental rock
rave funk,music genre,2017,funk mandelão
rave music,generic term for electronic dance music of various styles (primarily acid house and techno) played at raves in the 1990s,,electronic dance music
raw black metal,subgenre of black metal,1987,black metal
raw punk,music genre,,D-beat
raw techno,subgenre of techno,,techno
raw trance,subgenre of trance music,,trance
rawphoric,music genre,2016,rawstyle
rawstyle,subgenre of hardstyle (electronic music),2008,hardstyle
raï,music genre originating in Algeria,1920,music of Algeria
recession pop,Dance-pop music that emerged during the Great Recession,,dance-pop
recessional hymn,hymn placed at the end of a Catholic or Anglican church service,,church music
red and anarchist black metal,music genre,,black metal
red dirt,music genre,,Southern rock
red disco,music genre,1986,music of the Soviet Union
red music,type of political songs from China approved by communist or socialist parties,,revolutionary song
redowa,"Czech dance of two kinds, one in triple time, like a waltz, the other in two-four time, like a polka",,classical music
reductionism,music genre,,experimental music
reel,form of dance and genre of accompanying music,,Irish folk music
refalosa,South American dance,,Argentinian folk dance
regalia,music genre,,trap music
reggada,music genre and type of dance,,traditional folk music
reggae,music genre that originated in Jamaica in the late 1960s,1961,music of Jamaica
reggae en Español,music recorded in the Spanish language by artists of Latin American origin,1975,reggae
reggae fusion,fusion genre of reggae,1985,reggae
reggae punk,music genre,,post-punk
reggae rap,music genre,,reggae
reggae rock,music genre,,rock music
reggaestep,fusion genre of reggae music and dubstep,2010,dubstep
reggaeton,music genre,1990,popular music
reggaeton underground,subgenre of reggaeton and reggae en Español combining characteristics of nu metal with dembow and reggae fusion,,reggaeton
regional Mexican,musical styles originating from Mexico and the Mexican American community in the United States; radio format,,music of Mexico
regional blues,music genre,,blues
regional hymn,song that should express the identity and the connection to a geografical region,,patriotic song
regional music,music classified by geographical area,,music
regueifa,music genre,,cantiga
rekilaulu,music genre,,Finnish folk music
rekuhkara,"style of singing, similar to Inuit throat singing, that was practised by the Ainu until 1976 when the last practitioner died",,throat singing
relaxation music,music genre,,functional music
religious hymn,"type of religious song specifically written for the purpose of adoration or prayer, typically addressed to a deity or deities",,prayer
religious music,music genre,,functional music
religious vocal music,genre of music sung during religious rituals,,vocal music
reparto,music genre,,cubaton
repente,music genre,,music of Brazil
resort music,musical genre,,
responsory,"category of Western chant serving at Matins and monastic Vespers as musical postludes to the reading of lessons, as the gradual and alleluia do at the Mass",,chant
retro-prog,musical style,,
retro-soul,genre of music,,soul
retro-swing,music genre,1994,dance music
revue,"theatrical entertainment that combines music, dance and sketches",,musical theater
rhythm & grime,music genre,,contemporary R&B
rhythm & praise music,music genre,,
rhythm and blues,genre of popular music that originated within African-American communities in the 1940s,1938,popular music
rhythm kayo,music genre,,
rhythm music,musical genres with an emphasis on playing by ear and improvisation,,
ricercar,musical composition exploring a motif or developing an etude,,classical music
riddim,genre of electronic dance music,2010,dubstep
rigaudon,classical dance music form,,classical dance music
rigsar,music genre,,pop music
rin,music genre and type of dance,,dance
ring shout,music genre,,American folk music
riot grrrl,underground feminist punk rock movement; music genre,1990,punk rock
ripsaw music,musical genre,,Caribbean folk music
risecore,fusion music genre of metalcore and post-hardcore,,metalcore
ritmada,music genre,,funk mandelão
ritmo de panaderas,music genre,,work song
ritmo kombina,music genre,,music of the Caribbean
ritual ambient,subgenre of dark ambient,,dark ambient
ritual music,"refers to the specific musical practices and sonic traditions that accompany religious, spiritual, or ceremonial activities",,event music
ritual song,"a musical composition, chant, or vocal expression specifically designed to accompany ceremonial, spiritual, or traditional practices",,song
rizitika,music genre,,Cretan folk music
road rap,genre of music,,UK rap
rock and roll,"genre of popular music, early subgenre of rock music",1949,rock music
rock and roll revival,back-to-basics musical trend of the late 1960s and early 1970s,,rock and roll
rock andino,music genre or scene,1970,rock music
rock astur,music genre,,Spanish rock
rock barrial,music genre or scene,,Argentine rock
rock de Mendoza,music genre or scene,,Argentine rock
rock doido,genre of music and cultural movement from northern Brazil,2000,tecno brega
rock en español,Spanish-language rock,1960,rock music
rock fusion,"genre that mixes rock, hard rock and metal with rap, funk and even occasionally with punk",,rock music
rock kapak,"rock subgenre, mainly from Malaysia",1987,hard rock
rock mossi,Musical genre from Burkina Faso,2000,rock music
rock music,popular music genre,1948,popular music
rock musical,musical theatre work with rock music,,rock music
rock noir,music genre,,rock music
rock opera,"work of rock music that presents a storyline told over multiple parts, songs or sections",1967,musical play
rock poetry,genre of poetry,,poetry
rock polo,music genre,,rock music
rock rolinga,music genre,,rock music
rock rural,music genre,,folk rock
rock subterráneo,Peruvian music scene,,rock music
rock sónico,music scene,,Argentine rock
rock triste,music genre or scene,,indie rock
rock urbano mexicano,rock and roll movement and musical genre emerged in Mexico,,music of Mexico
rock violin,rock music subgenre,,rock music
rockabilly,early style of rock and roll music,1950,rock and roll
rockabilly revival,music genre,,rockabilly
rockdut,"Indonesian music genre, fusion of rock and dangdut",,rock music
rockers reggae,subgenre of reggae,,reggae
rocksteady,music genre that originated in Jamaica around 1966,1966,music of Jamaica
roda de samba,musical group to play samba,,music of Brazil
rom kbach,Cambodian popular music and a popular Khmer dance style,,Cambodian pop
romance,"musical form of brief, simple melody",,art song
romantic style,genre derived from reggae in Spanish,1980,reggaeton
romanţe,music genre,,romance
rominimal,music genre,,tech house
rondeau,medieval and Renaissance poetic and musical genre,,forme fixe
roots reggae,subgenre of reggae,1968,reggae
roots rock,music genre,1966,rock music
rough music,music genre,,
rub-a-dub,music genre,1980,early dancehall
rujigaku,music genre,,march
rumba,music genre,,music of Cuba
rumba vallecana,music genre,,
runo song,ancient song genre,1100,Balto-Finnic folk music
rusalka song,type of Eastern Slavic folk songs,,Slavic rite song
rustic stomp,music genre,,psychobilly
ryndzivky,Slavic traditional Easter song genre,,Easter song
ryūka,music genre,,Ryukyuan literature
røvballe,"easily accessible popular music, eg evergreens and Danish top melodies, which are performed as entertainment (and dance music) at larger private parties, public events etc",,
rúmbia,music genre,,
rōkyoku,genre of traditional Japanese narrative singing,,vocal music
sa'idi,music genre,,music of Egypt
sacred concerto,17th-century genre of sacred music,,composed musical work
sacred flute music of Papua New Guinea,music genre,,religious music
sacred folk song,song form,,Lied
sacred jazz,music genre,,jazz
sacred singing circle,music genre,,
sacro polo,music genre,,
sacropop,music genre,,pop music
sad pop,sub-genre of pop music,,pop music
sadcore,music genre,1988,alternative rock
saeta,"genre of anonymous spiritual song in vernacular, imitating the psalmody of the church (canonical) liturgy, which emerged in Catholic Spain in the 17th century; Cante jondo subgenre, which emerged at the end of the 19th century",,cante jondo
saibara,music genre,,utaimono
sailor song,genre of songs,,song
saimon,music genre,,katarimono
sainaimu,music genre and type of dance,,folk dance
sajuriana,music genre,,
saka-uta,music genre,,curse
salon music,popular music genre in Europe during the 19th century,,composed musical work
salsa,Latin American dance music genre,1920,tropical music
salsa baúl,music genre,,salsa
salsa choke,music genre,,salsa
salsa dura,style of salsa music developed in the 1970s,1975,salsa
salsa romántica,music genre,,salsa
salsaton,music genre,,
saluang klasik,music genre,,Minangkabau music
samba,Brazilian music genre,1914,music of Brazil
samba afro,"musical genre from Bahia, performed by Afro blocks from this Brazilian state, notably Ilê Aiyê",,samba
samba de breque,subgenre of samba,,samba
samba de gafieira,partner dance to various Brazilian samba musical rhythms; music genre,1930,samba
samba de roda,Afro-Brazilian dance and music style that developed in the state of Bahia in Brazil,,Brazilian folk music
samba de terreiro,music genre,,samba
samba duro,"musical genre from the state of Bahia, derived from samba de roda",,samba
samba junino,subgenre of samba,,samba duro
samba rap,music genre,,hip-hop
samba reggae,Brazilian music genre,1987,axé
samba rock,genre of samba,1967,samba
samba soul,music genre,,samba rock
samba-batido,"term used in Bahia for batuque, referred to in Rio de Janeiro as batucada",,samba
samba-canção,music genre,,samba
samba-choro,music genre,,samba
samba-chulado,variant of the samba existing in Bahia with a more complex and extensive melody than the common samba-de-roda,,samba de roda
samba-corrido,"variant of the old samba existing in Bahia, without a second-part, chronologically intermediate between primitive rural samba and modern urban samba",,samba de roda
samba-enredo,music genre,,samba
samba-exaltação,music genre,,samba
samba-funk,music genre,1960,samba
samba-jazz,Brazilian music genre,,jazz
samba-joia,music genre,,samba
samba-maxixe,term designated to classify the first urban samba style in Rio de Janeiro born in the first decades of the 20th century,,samba
samba-raiado,"musical sub-genre of samba brought to the city of Rio de Janeiro by the ""tias baianas"" at the beginning of the 20th century",,samba de roda
samba-sincopado,style of samba that accentuates the syncopation of the musical genre,,samba
sambalanço,subgenre of samba,,samba
sambass,style of drum and bass,2001,drum and bass
sample drill,music genre,2019,drill
sampledelia,sample-based music genre,,popular music
sampler-based music,composed for early home computer and game consoles from the late 1980s to the late 1990s,1988,bit music
samri,folkloric music and dance native to Saudi Arabia,,Khaliji
samul nori,music genre,,Korean traditional music
sanjo,style of traditional Korean music created in 1890s,,Korean folk music
sanjuanito,music genre,,music of Ecuador
sankyoku,music genre,,music of Japan
santé engagé,music genre,,music of Seychelles
sapphic pop,subgenre of indie music and bedroom pop,,independent music
sarabande,music genre and type of dance,,Baroque music
sarala gee,music genre,,Sinhalese folk music
sardana,music genre and type of circle dance typical of Catalan culture,,circle dance
sardana obligada,music genre and type of dance,,sardana
sardana revessa,music genre and type of dance,,sardana
sass,music genre,1990,post-hardcore
satirical hip hop,Type of satire,,comedy hip-hop
satirical music,music genre,,comedy music
sawt,music genre,,Arabic music
saya,music and dance that originated in the Collao Meseta region of Peru-Bolivia,,music of Latin America
saya afroboliviana,"music and dance of Afro-Bolivian people, born in Los Yungas in Bolivia",,saya
saz semai,instrumental form in Ottoman classical music,1850,Ottoman classical music
scam rap,hip hop genre with lyrics focus on scamming,,gangsta rap
scan,music genre,,synth-pop
schlager music,genre of popular music,1874,pop music
schottische,"partnered country dance derived from polka, of continental European origin",,folk dance
schranz,subgenre of techno,1995,hard techno
science fiction music,music genre,,science fiction
science fiction musical,"musical that depicts imagined scientific or technological advances (e.g., time travel, artificial intelligence) and their impact on society",,musical play
score,"type of soundtrack, consisting of musical compositions within a film, video game, television and others, typically written by a composer or occasionally music compiled from previously written musical compositions",,soundtrack
scouse house,subgenre of hard house,1998,hard house
screamer,type of classical march music,,march
screamo,subgenre of emo,1995,emo
screamo rap,music genre,,rapping
scum rock,musical genre or scene,,American punk rock
sea shanty,work song sung to accompany labor on board large merchant sailing vessels,,work song
sean-nós singing,music genre,,a cappella
seapunk,subculture that originated on Tumblr in 2011,2011,electronic music
sebene,instrumental dance section in Congolese rumba,,music of Central Africa
secular music,music genre,900,music
sega,music genre of Mauritius and Reunion island,,music of Seychelles
sega tambour Chagos,"type of Sega music of Mauritius, with origins in the Chagos Archipelago",,séga tambour
sega tambour of Rodrigues Island,type of performing art of Rodrigues Island,,séga tambour
seggae,fusion genre of sega and reggae music,1985,reggae
seguidilla,old Castilian folk song and dance form,,composed musical work
seika,Japanese term for hymns,,
seishun punk,music genre,,music of Japan
self-esteem boosting song,song (mainly in Japan) that enhancing listeners' self-esteem,2022,J-pop
semba,traditional music and social partner dance from Angola,1950,African folk music
semi-classical music,genre of music,1964,Hindustani classical music
semi-trot,music genre,,K-pop
senja,Indonesian music genre,,music of Indonesia
senliau,music genre,,
sentimental ballad,slower emotional type of song within popular music,,popular music
seonsori,music genre,,Korean folk song
sepulchre music,music genre,,Easter music
serenade,musical form,,classical music
seresta,music genre,,serenade
serialism,musical method or technique of composition,1923,modern classical music
serrieño,Regional Mexican music style,,norteño
sertanejo,music genre that had its origins in the countryside of Brazil in the 1920s,1920,music of Brazil
sertanejo de raiz,music genre,,sertanejo
sertanejo romântico,music genre,,sertanejo
sertanejo universitário,music genre,,sertanejo
sesube,music genre of East African music,,music of East Africa
set-dansi,Surinamese dance,,dance
seto leelo,music genre,,polyphony
sevdalinka,traditional Bosnian urban folk song,1475,Bosnian and Herzegovinian folk music
sexy drill,music genre,,New York drill
seú,"music genre and dance form that occurs on Curaçao and Bonaire, connected to Easter",,
sgubhu,variant of gqom,,gqom
shaabi,Egyptian musical style,,Arabic music
shadow rap,subgenre of hip hop,,hip-hop
shaker music,music genre,,church music
shaman punk,musical subgenre of punk and hardcore music,,hardcore punk
shamanic music,music genre,,religious music
shamstep,music genre,,electronic dance music
shan'ge,music genre,,work song
shangaan electro,South African dance movement and musical style,2007,dance
shaqapas,music genre and type of dance,,dance
shashmaqam,Central Asian musical genre,,Tajik music
shatta,music genre; subgenre of dancehall,,dancehall
shchedrivka,Ukrainian and Belarusian genre of carols performed in the week between New Year and Christmas,,Christmas carol
sheilat,Saudi folk music genre,,Bedouin music
shidaiqu,1920s musical genre fusing Chinese folk and American jazz,1920,music of China
shima-uta,folk music in Amami Islands,,traditional folk song
shimokita-kei,music genre,,Japanese rock
shinkyoku,music genre,,music of Japan
shit talk,rapping style,2010,rapping
shitgaze,music genre,,noise rock
shock rock,rock music genre,1960,rock music
shoegaze,"indie/alternative rock subgenre characterized by an ethereal mixture of obscured vocals, guitar distortion and effects, feedback, and overwhelming volume",1987,alternative rock
shoor,music genre,,Maddahi
shout,style of Gospel music,,gospel music
show tune,song originally written as part of the score of a work of musical theatre; music genre,,song
shōka,purpose-written songs for school music textbooks in the pre-WWII era in Japan,,music of Japan
shōmyō,Japanese Buddhist music,,Buddhist chant
siciliana,music genre and type of dance,,
sierreña,subgenre of regional Mexican music,,norteño
siffleur,music genre or performance style centered on artistic whistling,,
sigidrigi,music genre,,music of Fiji
sigilkore,music genre,2018,trap music
signal music,music genre,,functional music
sikuris de italaque,music genre,,
silent film music,music written to accompany a silent film,,film score
sinfonia concertante,composition for one or more solo instruments and orchestra,,symphony
sinfonietta,"symphony that is smaller in scale (either in terms of length or the instrumental forces required), or lighter in approach than a standard symphony",,symphony
singeli,music genre,2015,electronic dance music
singer-songwriter music,"group of musical genres that emerged in the mid-20th century, referring to the music of singer-songwriters, often characterised by political or personal lyrics and minimal acoustic accompaniment",,popular music
singing theater,music genre,,
singjay,music genre,,reggae
sinogrime,music genre,,grime
sinom,music genre,,tembang macapat
sirilla,music genre and type of dance,,dance
sissy bounce,music genre,,bounce music
sitarsploitation,music genre,,psychedelic music
sizhu music,music genre,,music of China
ska,music genre from Jamaica in the 1950s,1958,popular music
ska jazz,music genre,,jazz
ska punk,fusion music genre,1977,punk rock
ska rock,music genre,,rock music
skacore,musical genre,,hardcore punk
skate punk,subgenre of punk rock,1985,punk rock
skiffle,"genre of folk music with jazz, blues, folk, and roots influences",1920,contemporary folk music
skiladiko,Greek folk music genre; derogatory term to describe a branch of laiko music and some of the current nightclubs in Greece in which this music is performed,,laïko
skullstep,music genre,2005,darkstep
skweee,music genre,2005,electronic dance music
slack-key guitar,music genre,,music of Hawaii
slacker rock,genre of rock music,1985,indie rock
slam death metal,subgenre of brutal death metal,,brutal death metal
slap house,subgenre of house music,2017,future house
sleaze rock,subgenre of rock music,,glam metal
slide,tune type in Irish traditional music,,Irish folk music
slimepunk,music genre,,electronic dance music
slip jig,music genre and type of dance,,Irish folk music
slow jam,music genre,,contemporary R&B
slow waltz,music genre,,waltz
slow-rock,music genre and type of dance,,rock and roll
slowcore,music genre,1993,indie rock
slowed & reverb,music genre,,
sludge metal,subgenre of heavy metal music,1992,extreme metal
sludgefest,musical genre consisting of slowed down Alvin & the Chipmunks songs,,daycore
slurmcore,musical genre and internet meme,,
slushwave,music genre,2013,vaporwave
slutwave,pejorative term for female pop music stars which emerged in the late 2000s,2008,pop music
slått,Norwegian music genre,,instrumental music
slåtterim,subgenre of Norwegian vocal folk music,,Norwegian vocal folk music
smooth jazz,music genre,1983,jazz
smooth reggae,music genre,,reggae
smooth soul,music genre,1975,soul
smurf house,90s music style,,house music
snap music,music genre,1997,hip-hop
snap&b,music genre,,contemporary R&B
so gōkō,music genre,,Japanese folk song
soca music,music genre and type of dance,1970,music of the Caribbean
social media pop,music genre; 2010s counterpart of teen pop,,pop music
soft grunge,rock music subgenre,,grunge
soft rock,music genre derived from popular and rock music,1960,pop rock
soft visual,music genre or scene,,visual kei
sogak,type of traditional Korean music,,Korean traditional music
soil,music genre,,
sokkie,"a style of dance that is unique to Southern Africa and popular mostly with Afrikaners, which is also a type of ballroom dance",,African dance
soko,Surinamese song genre,,
sokyoku,music genre,,Japanese classical music
son,generic term applied in the Spanish speaking world to various types of folk music with certain common traits,,Latin music
son afromexicano de Costa Chica,music genre and type of dance,,son mexicano
son arribeño,music genre,,son mexicano
son calentano,"instrumental form of music from the Tierra Caliente region, Mexico",1930,son mexicano
son cubano,style of dance and music genre originating in Cuba,,tropical music
son de artesa,music genre,,son mexicano
son de negro,music genre,,son
son de pascua,music genre,,Christmas music
son de tamborileros de Tabasco,music genre,,son mexicano
son huasteco,one of 8 Mexican song styles and is a traditional Mexican musical style originating in the 6 state area of Mexico called La Huasteca,,son mexicano
son istmeño,music genre,,son mexicano
son jaliscience,a version of Mexican Son music from which modern mariachi music is derived,,son mexicano
son jarocho,"style of Mexican folk music from the Gulf Coast Mexican state of Veracruz, with influences from both Spanish and indigenous music",,son mexicano
son mexicano,music genre and type of dance,,regional Mexican
son montuno,music subgenre of son cubano,1900,son cubano
son nica,Nicaraguan musical genre,,music of Nicaragua
sonata,"type of musical composition, usually for a solo instrument or a small instrumental ensemble",1600,classical music
sonero music,music genre,,Latin music
song without words,"short instrumental piece with a lyrical style, usually for piano",,solo
songo music,music genre,,music of Cuba
songsters music,early blues music genre,,blues
sonidero,Mexican music genre,,music of Mexico
sonorism,movement in Western classical music,,postmodern music
sophisti-pop,subgenre of pop music,1985,pop music
soukous,African music genre,1968,African dance
soul,genre of popular music,1955,rhythm and blues
soul blues,style of blues music,1968,blues
soul jazz,music genre,1950,jazz
soul rock,subgenre of rock,,rock music
soulful house,subgenre of house music,1980,house music
sound art,art discipline that uses sound as a medium,,new media art
sound collage,"music term and genre; technique where newly branded sound objects or compositions, including songs, are created from collage",,collaging
sound poetry,"artistic form bridging literary and musical composition, in which the phonetic aspects of human speech are foregrounded instead of more conventional semantic and syntactic values",,poetry
sound sculpture,type of sculpture that involves sound,,sculpture
soundtrack,music genre,,stage and screen
sousedská,music genre and type of dance,,classical music
southern Brazilian music,music genre,,music of Brazil
space age pop,music genre,1947,pop music
space ambient,subgenre of ambient music,1971,ambient music
space disco,"subgenre of disco music with science fiction themes, cosmic sounds and visuals",1976,electro-disco
space metal,music genre,,metal music
space music,"tranquil, hypnotic subgenre of electronic music",1970,electronic music
space rock,genre of rock music,1968,psychedelic rock
space rock revival,music genre,1986,space rock
spacesynth,music style,1981,electronic dance music
spaghetti western music,music genre grouping music composed for films in the Italian spaghetti western film genre,,cinematic classical
spamwave,music genre,,sound collage
spandau synthpop,music genre,,synth-pop
spatial music,composed music that intentionally exploits sound localization,,
spaza,South African style of hip-hop music that originated in Gugulethu on the Cape Flats,,hip-hop
spectral music,"compositional practice involving analysis, manipulation and transformation of sound spectra",,postmodern music
speed garage,genre of electronic dance music associated with the UK garage scene,1994,house music
speed house,music genre,2017,hard dance
speed metal,sub-genre of heavy metal music,1978,heavy metal music
speedbass,subgenre of hardcore techno,,hardcore
speedcore,"form of hardcore characterized by a high tempo (rarely below 300 beats per minute) and aggressive themes, originating in the early to mid 1990s",1994,hardcore
spiritual art song,music genre,,art song
spiritual jazz,music genre,,jazz
spiritual verse,Russian folk poems-songs on Christian themes and plots,,psalma
spirituals,music genre created by generations of African-Americans,1790,African-American music
splittercore,music genre,2007,speedcore
sports anthem,music genre,,anthem
sports music,music genre,,functional music
spouge,music genre,,ska
spy music,music genre,,jazz
square dance music,music genre,,folk dance music
stadium house,music genre,,house music
stage and screen,"special purpose genre reserved for music associated with musicals, soundtracks, plays, and other scores",,functional music
staifi music,music genre,,Berber music
stara gradska song,genre of Bulgarian folk music,,Bulgarian folk music
starogradska muzika,music genre,,Macedonian folk music
stasimon,"stationary song, performed by the chorus in Ancient Greek tragedy",,
steampunk music,music genre,,
steel band music,music genre,,percussion music
steel drum music,music genre,,percussion music
stenchcore,music genre,,crust punk
stepenny,music genre,,song
stochastic music,mathematical processes based on probability to generate stochastic elements.,,postmodern music
stomp and flutter,music genre,,popular music
stomp and holler,music genre,,indie folk
stoner doom,music genre,,doom metal
stoner metal,subgenre of metal evolved from stoner rock,1990,metal music
stoner rap,music genre,,hip-hop
stoner rock,subgenre of rock music,1988,hard rock
stornello,form of Italian popular poem,,Italian folk music
storytelling rap,music genre,,rapping
stotra,"Sanskrit word, that means ""ode, eulogy or a hymn of praise"". It is a literary genre of Indian texts designed to be melodically sung, in contrast to shastras which are composed to be recited.",,religious hymn
straight edge,music genre,,hardcore punk
straight jazz,music genre,,jazz
straight-ahead jazz,jazz music style,,jazz fusion
strathspey,music genre and type of dance,,folk dance
street cry,"song, rhyme, or patter used by vendors to advertise their wares",,song
street music,music genre,,functional music
street pop,"hip hop, pop and EDM fusion genre",,hip-hop
street punk,subgenre of punk,1982,hardcore punk
street rock,music genre,,rock music
street ska,music genre,,ska
street talking,music genre,,pop music
stride piano,jazz piano style,1920,jazz
string quartet,musical composition written to be performed by a string quartet,,chamber music
stronda,"Brazilian music genre; subgenre of Brazilian hip hop music and a cross-genre that has elements of hip hop, funk, pop, surf music and rock",,Brazilian hip-hop
stutter house,music genre,2019,house music
subjective music,music genre,,functional music
sumo jinku,music genre,,jinku
sung poetry,"musical movement and genre of singer-songwriter music, mainly from the Baltic States and Poland; songs consisting of a poem (most often a ballad) and music written specially for that text",,singer-songwriter music
sungura,music genre,,music of Zimbabwe
sunshine pop,microgenre of pop music,1965,pop music
sunshine reggae,music genre,,reggae
suomisaundi,style of freeform psychedelic trance originating from Finland,1996,psychedelic trance
supertone,subgenre of speedcore,,speedcore
surf music,music genre,1957,rock music
surf punk,punk rock that incorporates elements of surf rock,1977,punk rock
surf revival,music genre,,surf music
surf rock,subgenre of rock music and surf music,1950,surf music
surfabilly,music genre,,surf music
suri sicuri,music genre and type of dance,,dance
suri sicuri (Bolivia),music genre and type of dance,,dance
surrealist music,music genre,,
suspense music,music genre,,
sutartinė,Lithuanian polyphonic folk song,,polyphony
svatbarskata muzika,Bulgarian folk music genre,1970,Bulgarian folk music
swamp blues,music genre; form of Louisiana blues,1957,Louisiana blues
swamp pop,"music genre combines New Orleans-style rhythm and blues, country and western, and Cajun and black Creole music",,music of Louisiana
swamp rock,music genre originating in the Southeastern United States,1965,roots rock
swancore,music genre,,post-hardcore
sweet jazz,music genre,,jazz
swing,style of jazz or musical genre based on the rhythmic pulse of music composed of pairs of eighth notes with a longer initial note and a shorter second note,1930,jazz
swing criollo,music genre,,
swing musette,music genre,,bal-musette
swing revival,music genre and pop culture movement,1994,swing
swingbeat,music genre,,contemporary R&B
swingueira,music genre,2000,pagode baiano
symphonic black metal,subgenre of black metal,1990,black metal
symphonic death metal,music genre,,death metal
symphonic fantasia,music genre,,fantasia
symphonic metal,music genre that blends heavy metal with classical music,1995,metal music
symphonic mugham,music genre,1950,symphonic music
